date,region,metric,value,unit
2011-01-31,australia,credit_housing_mom,0.5,percent
2011-02-28,australia,credit_housing_mom,0.4,percent
2011-03-31,australia,credit_housing_mom,0.4,percent
2011-04-30,australia,credit_housing_mom,0.4,percent
2011-05-31,australia,credit_housing_mom,0.5,percent
2011-06-30,australia,credit_housing_mom,0.4,percent
2011-07-31,australia,credit_housing_mom,0.5,percent
2011-08-31,australia,credit_housing_mom,0.4,percent
2011-09-30,australia,credit_housing_mom,0.5,percent
2011-10-31,australia,credit_housing_mom,0.4,percent
2011-11-30,australia,credit_housing_mom,0.4,percent
2011-12-31,australia,credit_housing_mom,0.4,percent
2012-01-31,australia,credit_housing_mom,0.4,percent
2012-02-29,australia,credit_housing_mom,0.4,percent
2012-03-31,australia,credit_housing_mom,0.4,percent
2012-04-30,australia,credit_housing_mom,0.4,percent
2012-05-31,australia,credit_housing_mom,0.4,percent
2012-06-30,australia,credit_housing_mom,0.3,percent
2012-07-31,australia,credit_housing_mom,0.4,percent
2012-08-31,australia,credit_housing_mom,0.4,percent
2012-09-30,australia,credit_housing_mom,0.4,percent
2012-10-31,australia,credit_housing_mom,0.3,percent
2012-11-30,australia,credit_housing_mom,0.4,percent
2012-12-31,australia,credit_housing_mom,0.3,percent
2013-01-31,australia,credit_housing_mom,0.4,percent
2013-02-28,australia,credit_housing_mom,0.4,percent
2013-03-31,australia,credit_housing_mom,0.4,percent
2013-04-30,australia,credit_housing_mom,0.4,percent
2013-05-31,australia,credit_housing_mom,0.4,percent
2013-06-30,australia,credit_housing_mom,0.4,percent
2013-07-31,australia,credit_housing_mom,0.5,percent
2013-08-31,australia,credit_housing_mom,0.4,percent
2013-09-30,australia,credit_housing_mom,0.5,percent
2013-10-31,australia,credit_housing_mom,0.5,percent
2013-11-30,australia,credit_housing_mom,0.5,percent
2013-12-31,australia,credit_housing_mom,0.6,percent
2014-01-31,australia,credit_housing_mom,0.6,percent
2014-02-28,australia,credit_housing_mom,0.5,percent
2014-03-31,australia,credit_housing_mom,0.5,percent
2014-04-30,australia,credit_housing_mom,0.6,percent
2014-05-31,australia,credit_housing_mom,0.6,percent
2014-06-30,australia,credit_housing_mom,0.6,percent
2014-07-31,australia,credit_housing_mom,0.5,percent
2014-08-31,australia,credit_housing_mom,0.5,percent
2014-09-30,australia,credit_housing_mom,0.6,percent
2014-10-31,australia,credit_housing_mom,0.6,percent
2014-11-30,australia,credit_housing_mom,0.6,percent
2014-12-31,australia,credit_housing_mom,0.6,percent
2015-01-31,australia,credit_housing_mom,0.6,percent
2015-02-28,australia,credit_housing_mom,0.5,percent
2015-03-31,australia,credit_housing_mom,0.6,percent
2015-04-30,australia,credit_housing_mom,0.6,percent
2015-05-31,australia,credit_housing_mom,0.6,percent
2015-06-30,australia,credit_housing_mom,0.6,percent
2015-07-31,australia,credit_housing_mom,0.6,percent
2015-08-31,australia,credit_housing_mom,0.6,percent
2015-09-30,australia,credit_housing_mom,0.6,percent
2015-10-31,australia,credit_housing_mom,0.6,percent
2015-11-30,australia,credit_housing_mom,0.6,percent
2015-12-31,australia,credit_housing_mom,0.5,percent
2016-01-31,australia,credit_housing_mom,0.5,percent
2016-02-29,australia,credit_housing_mom,0.5,percent
2016-03-31,australia,credit_housing_mom,0.4,percent
2016-04-30,australia,credit_housing_mom,0.5,percent
2016-05-31,australia,credit_housing_mom,0.5,percent
2016-06-30,australia,credit_housing_mom,0.5,percent
2016-07-31,australia,credit_housing_mom,0.5,percent
2016-08-31,australia,credit_housing_mom,0.5,percent
2016-09-30,australia,credit_housing_mom,0.5,percent
2016-10-31,australia,credit_housing_mom,0.5,percent
2016-11-30,australia,credit_housing_mom,0.5,percent
2016-12-31,australia,credit_housing_mom,0.5,percent
2017-01-31,australia,credit_housing_mom,0.5,percent
2017-02-28,australia,credit_housing_mom,0.5,percent
2017-03-31,australia,credit_housing_mom,0.6,percent
2017-04-30,australia,credit_housing_mom,0.5,percent
2017-05-31,australia,credit_housing_mom,0.6,percent
2017-06-30,australia,credit_housing_mom,0.6,percent
2017-07-31,australia,credit_housing_mom,0.5,percent
2017-08-31,australia,credit_housing_mom,0.5,percent
2017-09-30,australia,credit_housing_mom,0.5,percent
2017-10-31,australia,credit_housing_mom,0.5,percent
2017-11-30,australia,credit_housing_mom,0.5,percent
2017-12-31,australia,credit_housing_mom,0.5,percent
2018-01-31,australia,credit_housing_mom,0.5,percent
2018-02-28,australia,credit_housing_mom,0.5,percent
2018-03-31,australia,credit_housing_mom,0.5,percent
2018-04-30,australia,credit_housing_mom,0.4,percent
2018-05-31,australia,credit_housing_mom,0.4,percent
2018-06-30,australia,credit_housing_mom,0.4,percent
2018-07-31,australia,credit_housing_mom,0.4,percent
2018-08-31,australia,credit_housing_mom,0.4,percent
2018-09-30,australia,credit_housing_mom,0.4,percent
2018-10-31,australia,credit_housing_mom,0.3,percent
2018-11-30,australia,credit_housing_mom,0.3,percent
2018-12-31,australia,credit_housing_mom,0.3,percent
2019-01-31,australia,credit_housing_mom,0.2,percent
2019-02-28,australia,credit_housing_mom,0.3,percent
2019-03-31,australia,credit_housing_mom,0.2,percent
2019-04-30,australia,credit_housing_mom,0.3,percent
2019-05-31,australia,credit_housing_mom,0.2,percent
2019-06-30,australia,credit_housing_mom,0.2,percent
2019-07-31,australia,credit_housing_mom,0.2,percent
2019-08-31,australia,credit_housing_mom,0.2,percent
2019-09-30,australia,credit_housing_mom,0.3,percent
2019-10-31,australia,credit_housing_mom,0.3,percent
2019-11-30,australia,credit_housing_mom,0.3,percent
2019-12-31,australia,credit_housing_mom,0.3,percent
2020-01-31,australia,credit_housing_mom,0.3,percent
2020-02-29,australia,credit_housing_mom,0.3,percent
2020-03-31,australia,credit_housing_mom,0.3,percent
2020-04-30,australia,credit_housing_mom,0.3,percent
2020-05-31,australia,credit_housing_mom,0.2,percent
2020-06-30,australia,credit_housing_mom,0.2,percent
2020-07-31,australia,credit_housing_mom,0.2,percent
2020-08-31,australia,credit_housing_mom,0.2,percent
2020-09-30,australia,credit_housing_mom,0.4,percent
2020-10-31,australia,credit_housing_mom,0.3,percent
2020-11-30,australia,credit_housing_mom,0.4,percent
2020-12-31,australia,credit_housing_mom,0.4,percent
2021-01-31,australia,credit_housing_mom,0.4,percent
2021-02-28,australia,credit_housing_mom,0.5,percent
2021-03-31,australia,credit_housing_mom,0.6,percent
2021-04-30,australia,credit_housing_mom,0.5,percent
